product_id,month,units_sold
FUR-ADV-10000002,2014-05-01,2
FUR-ADV-10000002,2014-09-01,1
FUR-ADV-10000108,2011-04-01,2
FUR-ADV-10000108,2012-02-01,4
FUR-ADV-10000108,2012-05-01,1
FUR-ADV-10000183,2011-12-01,1
FUR-ADV-10000183,2012-11-01,10
FUR-ADV-10000183,2012-12-01,2
FUR-ADV-10000183,2013-01-01,6
FUR-ADV-10000183,2014-01-01,1
FUR-ADV-10000183,2014-08-01,5
FUR-ADV-10000183,2014-12-01,6
FUR-ADV-10000188,2012-04-01,2
FUR-ADV-10000188,2012-11-01,2
FUR-ADV-10000188,2013-09-01,1
FUR-ADV-10000188,2014-01-01,1
FUR-ADV-10000188,2014-09-01,1
FUR-ADV-10000190,2011-08-01,2
FUR-ADV-10000571,2011-09-01,1
FUR-ADV-10000571,2011-11-01,4
FUR-ADV-10000571,2012-07-01,1
FUR-ADV-10000571,2013-09-01,2
FUR-ADV-10000571,2013-10-01,1
FUR-ADV-10000571,2014-01-01,8
FUR-ADV-10000571,2014-07-01,1
FUR-ADV-10000571,2014-12-01,2
FUR-ADV-10000600,2014-04-01,2
FUR-ADV-10000600,2014-06-01,2
FUR-ADV-10000847,2011-01-01,1
FUR-ADV-10000847,2011-02-01,2
FUR-ADV-10000847,2011-12-01,1
FUR-ADV-10000847,2014-07-01,6
FUR-ADV-10000847,2014-11-01,1
FUR-ADV-10001283,2013-10-01,1
FUR-ADV-10001283,2014-09-01,2
FUR-ADV-10001440,2012-11-01,6
FUR-ADV-10001440,2012-12-01,1
FUR-ADV-10001440,2013-06-01,4
FUR-ADV-10001440,2013-07-01,8
FUR-ADV-10001440,2013-11-01,1
FUR-ADV-10001440,2014-07-01,1
FUR-ADV-10001440,2014-11-01,1
FUR-ADV-10001659,2011-06-01,1
FUR-ADV-10001659,2011-10-01,2
FUR-ADV-10001659,2012-01-01,2
FUR-ADV-10001659,2013-06-01,2
FUR-ADV-10001659,2014-07-01,2
FUR-ADV-10001659,2014-12-01,1
FUR-ADV-10001855,2012-08-01,1
FUR-ADV-10001855,2012-10-01,1
FUR-ADV-10001855,2013-11-01,1
FUR-ADV-10001855,2014-07-01,1
FUR-ADV-10002329,2013-06-01,1
FUR-ADV-10002601,2011-02-01,6
FUR-ADV-10002601,2012-01-01,1
FUR-ADV-10002601,2013-11-01,1
FUR-ADV-10002601,2013-12-01,2
FUR-ADV-10002601,2014-11-01,1
FUR-ADV-10002632,2013-06-01,2
FUR-ADV-10002889,2011-01-01,4
FUR-ADV-10002889,2011-12-01,1
FUR-ADV-10002889,2012-08-01,1
FUR-ADV-10002889,2012-12-01,1
FUR-ADV-10002889,2014-06-01,4
FUR-ADV-10002889,2014-07-01,4
FUR-ADV-10002889,2014-11-01,4
FUR-ADV-10003147,2013-01-01,1
FUR-ADV-10003147,2013-08-01,4
FUR-ADV-10003147,2013-10-01,2
FUR-ADV-10003147,2013-11-01,1
FUR-ADV-10003326,2011-02-01,1
FUR-ADV-10003326,2011-05-01,1
FUR-ADV-10003326,2013-11-01,1
FUR-ADV-10003326,2014-11-01,1
FUR-ADV-10004159,2011-06-01,2
FUR-ADV-10004159,2012-12-01,1
FUR-ADV-10004159,2014-09-01,2
FUR-ADV-10004223,2014-04-01,2
FUR-ADV-10004395,2011-06-01,4
FUR-ADV-10004395,2011-07-01,1
FUR-ADV-10004395,2011-12-01,3
FUR-ADV-10004395,2013-01-01,1
FUR-ADV-10004395,2013-03-01,1
FUR-ADV-10004395,2014-05-01,2
FUR-ADV-10004395,2014-06-01,1
FUR-ADV-10004395,2014-07-01,2
FUR-ADV-10004395,2014-12-01,14
FUR-ADV-10004499,2012-06-01,2
FUR-ADV-10004499,2013-11-01,2
FUR-ADV-10004499,2014-06-01,1
FUR-ADV-10004718,2011-02-01,2
FUR-ADV-10004718,2011-07-01,2
FUR-ADV-10004718,2014-09-01,5
FUR-ADV-10004971,2011-12-01,8
FUR-ADV-10004971,2014-06-01,1
FUR-BAR-10000560,2014-09-01,2
FUR-BAR-10000831,2012-03-01,1
FUR-BAR-10000946,2011-12-01,6
FUR-BAR-10000946,2014-09-01,1
FUR-BAR-10001039,2014-06-01,1
FUR-BAR-10001039,2014-12-01,1
FUR-BAR-10002449,2012-03-01,14
FUR-BAR-10002449,2012-06-01,8
FUR-BAR-10002449,2014-07-01,1
FUR-BAR-10002710,2014-03-01,4
FUR-BAR-10003465,2011-06-01,1
FUR-BAR-10003465,2011-08-01,1
FUR-BAR-10003532,2012-02-01,1
FUR-BAR-10003532,2014-01-01,8
FUR-BAR-10003576,2011-12-01,1
FUR-BAR-10003576,2013-04-01,1
FUR-BAR-10004434,2013-01-01,4
FUR-BAR-10004553,2011-06-01,1
FUR-BAR-10004553,2014-06-01,1
FUR-BAR-10004553,2014-09-01,1
FUR-BAR-10004561,2011-10-01,1
FUR-BAR-10004682,2012-06-01,4
FUR-BEV-10000326,2013-02-01,1
FUR-BEV-10000388,2013-11-01,1
FUR-BEV-10001048,2014-09-01,1
FUR-BEV-10001217,2014-12-01,2
FUR-BEV-10001853,2014-04-01,2
FUR-BEV-10002193,2014-12-01,6
FUR-BEV-10002369,2011-05-01,1
FUR-BEV-10002369,2014-09-01,6
FUR-BEV-10002803,2014-09-01,1
FUR-BEV-10003414,2013-06-01,2
FUR-BEV-10004805,2014-08-01,2
FUR-BEV-10004919,2011-09-01,4
FUR-BEV-10004919,2013-09-01,1
FUR-BO-10000002,2011-02-01,5
FUR-BO-10000002,2013-05-01,1
FUR-BO-10000002,2014-11-01,3
FUR-BO-10000002,2014-12-01,2
FUR-BO-10000008,2014-07-01,2
FUR-BO-10000021,2012-07-01,2
FUR-BO-10000022,2011-11-01,4
FUR-BO-10000022,2012-10-01,5
